chain_id,i,range
0036465cc6,0,119.0
0036465cc6,1,117.3
0036465cc6,2,117.3
0036465cc6,3,116.4
0036465cc6,4,118.2
0036465cc6,5,116.5
0036465cc6,6,116.4
0036465cc6,7,116.0
0036465cc6,8,115.0
0036465cc6,9,118.4
0036465cc6,10,117.7
0036465cc6,11,117.2
0036465cc6,12,115.9
0036465cc6,13,116.1
0036465cc6,14,115.0
0036465cc6,15,117.8
0036465cc6,16,114.4
0036465cc6,17,115.1
0036465cc6,18,115.8
0036465cc6,19,113.1
0036465cc6,20,113.7
0036465cc6,21,115.7
0036465cc6,22,114.5
0036465cc6,23,112.1
0036465cc6,24,111.9
0036465cc6,25,114.7
0036465cc6,26,112.8
0036465cc6,27,113.3
0036465cc6,28,112.1
0036465cc6,29,112.4
0036465cc6,30,112.7
0036465cc6,31,112.0
0036465cc6,32,112.5
0036465cc6,33,113.2
0036465cc6,34,114.3
0036465cc6,35,112.5
0036465cc6,36,113.0
0036465cc6,37,113.2
0036465cc6,38,111.4
0036465cc6,39,114.7
0036465cc6,40,113.7
0036465cc6,41,114.6
0036465cc6,42,113.1
0036465cc6,43,113.4
0036465cc6,44,115.6
0036465cc6,45,114.5
0036465cc6,46,112.0
0036465cc6,47,111.5
0036465cc6,48,113.3
0036465cc6,49,113.6
0036465cc6,50,112.6
0036465cc6,51,110.7
0036465cc6,52,111.1
0036465cc6,53,110.4
0036465cc6,54,113.5
0036465cc6,55,113.3
0036465cc6,56,115.1
0036465cc6,57,112.3
0036465cc6,58,115.1
0036465cc6,59,116.1
0036465cc6,60,116.7
0036465cc6,61,115.5
0036465cc6,62,115.3
0036465cc6,63,115.1
0036465cc6,64,115.0
0036465cc6,65,115.8
0036465cc6,66,117.2
0036465cc6,67,116.2
0036465cc6,68,115.3
0036465cc6,69,116.3
0036465cc6,70,116.2
0036465cc6,71,116.4
0036465cc6,72,116.5
0036465cc6,73,116.9
0036465cc6,74,117.5
0036465cc6,75,117.8
0036465cc6,76,118.65
0036465cc6,77,119.5
0036465cc6,78,118.2
0036465cc6,79,117.7
0036465cc6,80,117.4
0036465cc6,81,118.5
0036465cc6,82,117.1
0036465cc6,83,116.3
0036465cc6,84,117.0
0036465cc6,85,115.8
0036465cc6,86,116.8
0036465cc6,87,115.1
0036465cc6,88,117.1
0036465cc6,89,118.1
0036465cc6,90,117.5
0036465cc6,91,118.3
0036465cc6,92,116.9
0036465cc6,93,115.6
0036465cc6,94,117.2
0036465cc6,95,116.1
0036465cc6,96,115.2
0036465cc6,97,116.7
0036465cc6,98,114.3
0036465cc6,99,116.3
0053053e5a,0,130.9
0053053e5a,1,130.8
0053053e5a,2,131.7
0053053e5a,3,130.9
0053053e5a,4,130.1
0053053e5a,5,129.3
0053053e5a,6,131.7
0053053e5a,7,131.14999999999998
0053053e5a,8,130.6
0053053e5a,9,130.53333333333333
0053053e5a,10,130.46666666666667
0053053e5a,11,130.4
0053053e5a,12,127.2
0053053e5a,13,128.3
0053053e5a,14,129.1
0053053e5a,15,128.8
0053053e5a,16,129.75
0053053e5a,17,130.7
0053053e5a,18,130.1
0053053e5a,19,129.5
0053053e5a,20,131.9
0053053e5a,21,126.1
0053053e5a,22,128.9
0053053e5a,23,130.2
0053053e5a,24,129.95999999999998
0053053e5a,25,129.72
0053053e5a,26,129.48
0053053e5a,27,129.24
0053053e5a,28,129.0
0053053e5a,29,126.2
0053053e5a,30,129.8
0053053e5a,31,129.55
0053053e5a,32,129.3
0053053e5a,33,129.4
0053053e5a,34,129.5
0053053e5a,35,131.1
0053053e5a,36,130.6
0053053e5a,37,130.1
0053053e5a,38,129.6
0053053e5a,39,127.7
0053053e5a,40,126.5
0053053e5a,41,125.3
0053053e5a,42,126.15
0053053e5a,43,127.0
0053053e5a,44,127.5
0053053e5a,45,127.1
0053053e5a,46,124.8
0053053e5a,47,124.0
0053053e5a,48,124.0
